marca,modelo,nro_de_serie,lugar_de_instalacion,fecha_de_verificacion,tipo
Anca,CVDV Versión 2,CJR0062,Av. Figueroa Alcorta 4750 - carril 2 asc. CABA,2020-03-04,Fijo
Anca,CVDV Versión 2,CJR0065,Av. Triunvirato 6300,2020-03-03,Fijo
Anca,CVDV Versión 2,CJR0065,Av. Triunvirato 6300,2021-04-21,Fijo
ANCA,CVDV Versión 2,CJR 00101,"Ruta Nacional Nº 9 - km 360,1 (Sentido de circulación ascendente), en jurisdicción de la localidad de Correa, provincia de Santa Fe",2014-11-11,Fijo
ANCA,CVDV Versión 2,CJR 00101,"Ruta Nacional Nº 9 - km 360,1 (Sentido de circulación ascendente), en jurisdicción de la localidad de Correa, provincia de Santa Fe",2015-11-25,Fijo
ANCA,CVDV Versión 2,CJR 00101,"Ruta Nacional Nº 9 - km 360,1 (Sentido de circulación ascendente), en jurisdicción de la localidad de Correa, provincia de Santa Fe",2016-11-17,Fijo
ANCA,CVDV Versión 2,CJR 00101,"Ruta Nacional Nº 9 - km 360,1 (Sentido de circulación ascendente), en jurisdicción de la localidad de Correa, provincia de Santa Fe",2017-11-16,Fijo
ANCA,CVDV Versión 2,CJR 00101,"Ruta Nacional Nº 9 - km 360,1 (Sentido de circulación ascendente), en jurisdicción de la localidad de Correa, provincia de Santa Fe",2018-11-23,Fijo
ANCA,CVDV Versión 2,CJR 00101,"Ruta Nacional Nº 9 - km 360,1 (Sentido de circulación ascendente), en jurisdicción de la localidad de Correa, provincia de Santa Fe",2019-11-13,Fijo
ANCA,CVDV Versión 2,CJR 00101,"Ruta Nacional Nº 9 - km 360,1 (Sentido de circulación ascendente), en jurisdicción de la localidad de Correa, provincia de Santa Fe",2022-05-19,Fijo
ANCA,CVDV Versión 2,CJR 00101,"Ruta Nacional Nº 9 - km 360,1 (Sentido de circulación ascendente), en jurisdicción de la localidad de Correa, provincia de Santa Fe",2023-05-31,Fijo
ANCA,CVDV Versión 2,CJR 00102,"Ruta Nacional Nº 9 - km 362,2 (Sentido de circulación descendente), en jurisdicción de la localidad de Correa, provincia de Santa Fe",2014-11-11,Fijo
ANCA,CVDV Versión 2,CJR 00102,"Ruta Nacional Nº 9 - km 362,2 (Sentido de circulación descendente), en jurisdicción de la localidad de Correa, provincia de Santa Fe",2015-11-18,Fijo
ANCA,CVDV Versión 2,CJR 00102,"Ruta Nacional Nº 9 - km 362,2 (Sentido de circulación descendente), en jurisdicción de la localidad de Correa, provincia de Santa Fe",2016-11-17,Fijo
ANCA,CVDV Versión 2,CJR 00102,"Ruta Nacional Nº 9 - km 362,2 (Sentido de circulación descendente), en jurisdicción de la localidad de Correa, provincia de Santa Fe",2017-11-24,Fijo
ANCA,CVDV Versión 2,CJR 00102,"Ruta Nacional Nº 9 - km 362,2 (Sentido de circulación descendente), en jurisdicción de la localidad de Correa, provincia de Santa Fe",2018-11-23,Fijo
ANCA,CVDV Versión 2,CJR 00102,"Ruta Nacional Nº 9 - km 362,2 (Sentido de circulación descendente), en jurisdicción de la localidad de Correa, provincia de Santa Fe",2019-11-13,Fijo
ANCA,CVDV Versión 2,CJR 00102,"Ruta Nacional Nº 9 - km 362,2 (Sentido de circulación descendente), en jurisdicción de la localidad de Correa, provincia de Santa Fe",2022-05-19,Fijo
