lugar_de_instalacion,lat,lon,formatted_address
"Ruta Provincial Nº 36, km 96,5 Magdalena, Pcia. de Buenos Aires, sentido de circulación Verónica - La Plata",,,
"Ruta Prov. 36 km 96,5 Desc. Magdalema carril 1",,,
"Ruta Provincial Nº 36, km 155,1, Pipinas, Pcia. de Buenos 
Aires,sentido de circulación (N-S) Verónica - Boca del Salado",,,
"Ruta provincial Nº 36, km 155,1, Pipinas, Pcia. de Buenos 
Aires,sentido de circulación: Veronica - Boca del salado",,,
"Ruta provincial Nº 36, km 155,1, Pipinas, Pcia. de Buenos Aires, sentido de circulación: Veronica - Boca del salado",,,
"Ruta Provincial 36, km 152, Pipinas, Provincia de Buenos Aires",,,
"Ruta provincial Nº 36, km 152, Pipinas, Pcia. de Buenos Aires",,,
R.P. 36 km 152 Pipinas ascendente,,,
R.P. 36 km 152 carril 1 Pipinas ascendente,,,
"Ruta Provincial Nº 36, km 155, Pipinas, Pcia. de Buenos Aires,sentido de circulación (S-N) Boca del Salado - Verónica",,,
"Ruta provincial Nº 36 km 155, Pipinas, Pcia. de Buenos Aires,sentido de circulación Boca del Salado - Verónica (S-N).",,,
"Ruta provincial Nº 36 km 155, Pipinas, Pcia. de Buenos Aires, sentido de circulación Boca del Salado - Verónica (S-N).",,,
"Ruta Pcial. Nº 36, km 155, Pipinas, Pcia. de Buenos Aires, sentido de circulación: Esquina de Crotto - Vieytes",,,
"Ruta Pcial. Nº 36, km 155, Pipinas, Pcia. de Buenos Aires, sentido de circulación: Esquina de Crotto - Vieytes.",,,
"Ruta Pcial. Nº 36, km 151,9 Pipinas, Pcia. de Buenos Aires, sentido de circulación: Esquina de Crotto - Vieytes.",,,
"Ruta Provincial Nº 32, km 122,5, Pergamino, Pcia. de Buenos Aires,sentido de circulación: descendente.",,,
"Ruta Provincial Nº 32, km 122,5, Pergamino, Pcia. de Buenos Aires, sentido de circulación: descendente.",,,
"Ruta Provincial Nº 32, km 122,5, Pergamino, Pcia. de Buenos Aires, sentido de circulación: descendente. Carril 1",,,
"Av. Rivadavia 1400, Campana, Pcia. de Buenos Aires, Sentido de circulación: Los Cardales - Campana.",,,
"Camino Centenario, km 17,5, La Plata, Pcia. de Buenos Aires,sentido de circulación Florencio Varela - La Plata",,,
"Camino Centenario, km 17,5, Berazategui, Pcia. de Buenos 
Aires,sentido de circulación Florencio Varela - La Plata.",,,
"Camino Centenario, km 17,5, Berazategui, Pcia. de Buenos Aires, sentido de circulación Florencio Varela - La Plata.",,,
"Camino Centenario, km 17,5, Partido de Berazategui, Pcia. de Buenos Aires, sentido de circulación: Florencio Varela - La Plata",,,
"Camino Centenario 17,500 - La Plata - Buenos Aires - Ascendente",,,
"Camino Centenario 17,5 - La Plata - Buenos Aires - Ascendente",,,
"Camino Centenario, km 17,5, La Plata, Pcia. de Buenos Aires,sentido de circulación La Plata - Florencio Varela",,,
"Camino Centenario, km 17,5, La Plata, Pcia. de Buenos Aires, sentido de circulación La Plata - Florencio Varela",,,
"Camino Centenario, km 17,5, La Plata, Pcia. de Buenos Aires,sentido de circulación: La Plata - Florencio Varela",,,
"Camino Centenario, km 17,5, La Plata, Pcia. de Buenos Aires, sentido de circulación: La Plata - Florencio Varela",,,
"Camino Centenario, km 17,5, La Plata, Pcia. de Buenos Aires, sentido de circulación: desc.",,,
"Ruta Provincial Nº 210, km 15,3, Pcia. de Buenos Aires, sentido de circulación Brandsen - Longchamps",,,
"Ruta Provincial Nº 205, km 15,3, Almirante Brown, Pcia. de Buenos Aires, sentido de circulación Burzaco - Longchamps",,,
"Av. Hipolito Yrigoyen 15300, partido de Almirante Brown, Pcia. de Buenos Aires, sentido de circulación: Burzaco - Longchamps",,,
"Av. Hipolito Yrigoyen 15300, partido de Almirante Brown, Pcia. de Buenos Aires, sentido de circulación:Asc. Burzaco - Longchamps",,,
"Ruta Provincial Nº 210, km 15,3, Pcia. de Buenos Aires, sentido de circulación Longchamps - Brandsen",,,
"Av. Hipolito Yrigoyen 16100, partido de Almirante Brown, Pcia. de Buenos Aires, sentido de circulación: Longchamps - Brandsen",,,
"Ruta Provincial Nº 63, km 0,55, Dolores, Pcia. Bs. As. 
Sentido:Descendente",,,
"Ruta Provincial N° 63, km 0,55, Dolores, Pcia. de Buenos 
Aires.Sentido Descendente (Esquina de Crotto hacia ruta 2)",,,
"Ruta Provincial N° 63, km 0,55, Dolores, Pcia. de Buenos Aires. Sentido Descendente (Esquina de Crotto hacia ruta 2)",,,
"Ruta Prov. 63 km 0,55 Carril 2 asc. Dolores",,,
"Ruta Provincial Nº 63, km 0,55, Dolores, Pcia. Bs. As. 
Sentido:Ascendente",,,
"Ruta Provincial N° 63, km 0,55, Dolores, Pcia. de Buenos 
Aires.Sentido Ascendente (Ruta 2 hacia Esquina de Crotto)",,,
"Ruta Provincial N° 63, km 0,55, Dolores, Pcia. de Buenos Aires. Sentido Ascendente (Ruta 2 hacia Esquina de Crotto)",,,
"Ruta Provincial N° 63, km 0,55, Dolores, Pcia. de Buenos Aires. Sentido Ascendente carril 2",,,
"Av. Pte. Illia (ex ruta Pcial. Nº 21) km 242, San Nicolás, Pcia. de Bs As, sentido de circulación: San Nicolás - Villa Constitución.",,,
"Don Bosco 2985, Bahía Blanca, Pcia. Bs. As. Sent. Asc",,,
"Don Bosco 2985, Bahía Blanca, Bs. As. Sentido: Asc.",,,
"Don Bosco 2985, Bahía Blanca, Bs. As. Asc.",,,
Don Bosco 2985 Bahia Blanca Asc.,,,
"Don Bosco 2990, Bahía Blanca, Pcia. Bs. As. Sent. Desc",,,
"Don Bosco 2990, Bahía Blanca, Bs. As. Sentido: Desc.",,,
Don Bosco 2990 Bahia Blanca Desc.,,,
"Ruta Provincial Nº 2, km 152,7, Lezama, Pcia. de Buenos 
Aires,sentido de circulación: Chascomus - Lezama",,,
"Ruta Provincial Nº 2, km 152,7, Lezama, Pcia. de Buenos Aires, sentido de circulación: Chascomus - Lezama",,,
"Ruta prov. 2 km 152,7 Asc. Carril 2 Lezama",,,
"Ruta prov. 2 km 152,7 Asc. Carril 2 Lezama Bs. As.",,,
"Ruta Provincial Nº 2, km 203, Dolores, Pcia. de Buenos Aires, sentido de circulación: Dolores - Castelli",,,
"Ruta Provincial Nº 2, km 203, Dolores, Pcia. de Buenos Aires, sentido de circulación: Dolores - Castelli-desc",,,
"Ruta Provincial Nº 2, km 203, Dolores, Pcia. de Buenos Aires, sentido de circulación: desc",,,
"Ruta Provincial Nº 2, km 113,5, Chascomus, Pcia. de Buenos Aires,sentido de circulación: Chascomus - Buenos Aires",,,
"Ruta Provincial Nº 2, km 113,5, Chascomús, Pcia. de Buenos Aires,sentido de circulación: Chascomús - CABA",,,
"Ruta Provincial Nº 2, km 113,5, Chascomús, Pcia. de Buenos Aires, sentido de circulación: Chascomús - CABA",,,
"Ruta Prov. 2 113,5 desc. Chascomus Bs As",,,
"Ruta Provincial Nº 2, km 114, Chascomus, Pcia. de Buenos 
Aires,sentido de circulación: Buenos Aires - Chascomus",,,
"Ruta Provincial Nº 2, km 114, Chascomús, Pcia. de Buenos 
Aires,sentido de circulación: Buenos Aires - Chascomús",,,
"Ruta Provincial Nº 2, km 114, Chascomús, Pcia. de Buenos Aires, sentido de circulación: Buenos Aires – Chascomús",,,
R.P. 2 km 114- chascomus bs as - Bs As ascendente carril 2,,,
"Av. Rivadavia 1400, Campana, Pcia. de Buenos Aires, Sentido de circulación: Campana - Los Cardales.",,,
"Ruta Provincial 2, km 45, El Peligro, Pcia. de Buenos Aires, sentido de circulación Mar del Plata - Capital Federal",,,
